"DateTime";"240291601000052 - Total batería";"240291601000052 - Máx. celda";"240291601000052 - Mín. celda"
"2025-02-05 03:30:07";26,5;3326;3293
"2025-02-05 03:35:18";26,5;3326;3293
"2025-02-05 03:40:30";26,5;3326;3293
"2025-02-05 03:45:41";26,5;3326;3293
"2025-02-05 03:50:53";26,5;3326;3293
"2025-02-05 03:56:06";26,5;3326;3293
"2025-02-05 04:01:18";26,5;3326;3292
"2025-02-05 04:06:29";26,5;3326;3292
"2025-02-05 04:11:41";26,5;3325;3292
"2025-02-05 04:16:52";27,1;3412;3374
"2025-02-05 04:22:06";27;3395;3357
"2025-02-05 04:27:17";26,8;3368;3342
"2025-02-05 04:32:28";26,8;3365;3337
"2025-02-05 04:37:40";26,8;3363;3335
"2025-02-05 04:42:51";26,8;3362;3336
"2025-02-05 04:48:05";26,8;3360;3334
"2025-02-05 04:53:16";26,7;3358;3331
"2025-02-05 04:58:28";26,7;3357;3333
"2025-02-05 05:03:39";26,7;3357;3332
"2025-02-05 05:08:50";26,7;3357;3331
"2025-02-05 05:14:04";26,7;3355;3330
"2025-02-05 05:19:15";26,7;3354;3326
"2025-02-05 05:24:27";26,7;3353;3328
"2025-02-05 05:29:38";26,7;3353;3328
"2025-02-05 05:34:50";26,7;3352;3323
"2025-02-05 05:40:03";26,7;3351;3325
"2025-02-05 05:45:15";26,7;3351;3322
"2025-02-05 05:50:26";26,7;3350;3321
"2025-02-05 05:55:38";26,7;3349;3320
"2025-02-05 06:00:49";26,7;3349;3319
"2025-02-05 06:06:03";26,6;3348;3319
"2025-02-05 06:11:14";26,6;3348;3317
"2025-02-05 06:16:26";26,6;3348;3317
"2025-02-05 06:21:37";26,6;3346;3317
"2025-02-05 06:26:49";26,6;3346;3316
"2025-02-05 06:32:02";26,6;3345;3316
"2025-02-05 06:37:14";26,6;3345;3315
"2025-02-05 06:42:25";26,6;3345;3314
"2025-02-05 06:47:37";26,6;3344;3314
"2025-02-05 06:52:48";26,5;3329;3298
"2025-02-05 06:58:02";26,5;3334;3303
"2025-02-05 07:03:13";26,5;3334;3302
"2025-02-05 07:08:24";26;3278;3239
"2025-02-05 07:13:36";26,3;3319;3275
"2025-02-05 07:18:47";26,3;3307;3268
"2025-02-05 07:24:01";26,2;3305;3265
"2025-02-05 07:29:12";26,1;3286;3243
"2025-02-05 07:34:24";26;3274;3227
"2025-02-05 07:39:35";26;3271;3226
"2025-02-05 07:44:46";26;3273;3232
"2025-02-05 07:49:58";26,1;3283;3242
"2025-02-05 07:55:11";26,3;3306;3270
"2025-02-05 08:00:23";26,3;3314;3275
"2025-02-05 08:05:34";26,1;3284;3251
"2025-02-05 08:10:46";26,2;3286;3259
"2025-02-05 08:15:57";26,2;3285;3259
"2025-02-05 08:21:11";26,2;3291;3261
"2025-02-05 08:26:22";26;3256;3230
"2025-02-05 08:31:33";26,2;3292;3270
"2025-02-05 08:36:45";26;3271;3238
"2025-02-05 08:41:56";26,3;3294;3271
"2025-02-05 08:47:10";26,3;3298;3276
"2025-02-05 08:52:21";26,3;3299;3277
"2025-02-05 08:57:33";26,3;3300;3278
"2025-02-05 09:02:44";26,3;3300;3279
"2025-02-05 09:07:56";26,3;3300;3279
"2025-02-05 09:13:09";26,3;3303;3279
"2025-02-05 09:18:21";25,9;3258;3224
"2025-02-05 09:23:32";26,3;3296;3275
"2025-02-05 09:28:43";26,3;3298;3278
